  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      445        4.688        5.952            3      834.072      744.840      337.649
      446        4.788        5.873            4      822.295      702.951      320.878
      447        4.793        6.024            4      828.856      716.907      323.277
      448        4.768        6.058            5      831.987      739.556      307.085
      449        4.625        5.929            3      814.222      731.994      308.992
      450        4.863        5.960            2      826.136      742.882      357.016
      451        4.756        5.940            2      816.756      765.375      356.867
      452        4.771        5.926            3      827.208      820.876      306.204
      453        4.926        5.795            4      809.620      784.885      308.094
      454        4.711        6.042            4      846.592      784.612      325.132
      455        4.607        5.873            3      823.762      817.950      309.269
      456        4.829        5.857            4      840.980      868.558      321.892
      457        4.785        6.172            1      843.996      863.120      378.361
      458        4.833        6.404            2      858.769      893.497      380.294
      459        5.020        6.358            2      876.882      929.113      368.247
      460        4.614        5.956            4      829.872      829.984      343.818
      461        4.756        6.085            3      814.658      830.527      342.916
      462        4.806        6.333            3      836.363      847.168      347.750
      463        4.681        6.300            2      839.949      817.125      360.885
      464        4.772        6.217            1      837.623      847.423      351.225
      465        4.966        5.839            5      806.608      714.166      337.328
      466        4.837        5.963            2      823.552      784.679      319.583
      467        4.846        5.922            3      831.982      806.650      343.404
      468        4.848        6.050            1      826.688      787.296      331.427
      469        5.058        5.684            4      787.394      711.679      331.636
      470        5.056        5.919            3      816.052      746.872      316.242
      471        4.959        5.877            5      807.153      689.768      328.194
      472        4.989        5.894            2      810.856      712.334      325.323
      473        5.013        5.753            5      800.480      702.420      325.804
      474        5.008        5.754            4      792.263      683.499      313.490
      475        5.027        5.842            4      823.391      735.598      322.726
      476        5.047        5.789            3      789.923      693.776      321.166
      477        5.033        5.863            4      825.990      759.237      304.785
      478        5.050        5.839            4      810.444      707.987      319.899
      479        4.956        5.808            4      816.033      759.785      327.727
      480        5.058        5.648            6      789.478      714.367      310.576
      481        4.854        6.293            3      830.206      779.237      364.253
      482        4.778        6.349            2      859.573      842.844      397.367
      483        4.879        6.201            3      826.964      833.948      355.231
      484        4.940        6.042            3      827.463      821.677      377.477
      485        4.783        6.237            2      839.069      820.693      353.822
      486        4.724        6.219            3      843.531      849.244      358.253
      487        4.837        6.323            3      868.505      880.219      363.321
      488        4.748        5.955            1      814.983      755.799      315.928
      489        4.888        5.945            3      826.835      723.848      340.742
      490        4.743        6.063            5      832.949      822.528      348.720
      491        4.599        6.035            4      853.484      807.199      317.048
      492        4.955        5.993            4      812.852      746.855      356.701
      493        4.866        6.190            2      859.558      875.801      369.483
      494        4.694        6.097            3      862.240      869.769      312.923
      495        4.558        5.904            4      828.789      838.273      269.142
      496        4.561        5.989            3      834.482      829.664      300.271
      497        4.444        6.038            4      838.380      879.902      327.020
      498        4.802        6.257            3      858.885      789.306      330.976
      499        4.546        6.172            3      856.637      842.425      349.159
      500        4.587        6.149            3      849.056      860.642      342.854
      501        4.522        6.191            3      858.086      892.509      346.952
